,CONEXION,SECTOR,CDESTIPSER,MES,AÑO,CATEGORIA,fecha_inicio,hora_inicio,fecha_fin,hora_fin,latitud,longitud,fecha_hora_inicio,fecha_hora_fin,tiempo_resta
13,2704225,S74,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-01,1960-01-01 08:24:00,2025-04-04,1960-01-01 19:28:36.880,-6.4959103933075895,-76.36858512501291,2025-04-01 08:24:00-01:00,2025-04-04 19:28:36.880000-01:00,3
14,2704225,S74,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-06,1960-01-01 16:57:00,2025-07-10,1960-01-01 08:08:05.304,-6.4959103933075895,-76.36858512501291,2025-07-06 16:57:00-01:00,2025-07-10 08:08:05.304000-01:00,3
15,903185,S74,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-11,1960-01-01 03:23:00,2025-10-14,1960-01-01 21:27:49.328,-6.476377013418876,-76.37880172473614,2025-10-11 03:23:00-01:00,2025-10-14 21:27:49.328000-01:00,3
16,903156,S74,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-23,1960-01-01 03:46:00,2025-02-25,1960-01-01 18:21:26.968,-6.498063632921222,-76.3541890072211,2025-02-23 03:46:00-01:00,2025-02-25 18:21:26.968000-01:00,2
18,1688062,S74,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-12,1960-01-01 06:33:00,2025-01-15,1960-01-01 13:33:27.440,-6.505753699136736,-76.37353862790901,2025-01-12 06:33:00-01:00,2025-01-15 13:33:27.440000-01:00,3
19,2622817,S74,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-02,1960-01-01 19:01:00,2025-10-04,1960-01-01 18:12:28.004,-6.488373982119399,-76.38499360335626,2025-10-02 19:01:00-01:00,2025-10-04 18:12:28.004000-01:00,1
21,391259,S72,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-26,1960-01-01 12:03:00,2025-05-28,1960-01-01 22:44:40.584,-6.481298881258649,-76.39551979701051,2025-05-26 12:03:00-01:00,2025-05-28 22:44:40.584000-01:00,2
22,3087622,S72,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-28,1960-01-01 08:29:00,2025-10-30,1960-01-01 22:16:19.568,-6.506676499175825,-76.36579877963385,2025-10-28 08:29:00-01:00,2025-10-30 22:16:19.568000-01:00,2
23,394393,S72,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-19,1960-01-01 04:16:00,2025-10-20,1960-01-01 09:11:21.908,-6.475607967232413,-76.35821372832419,2025-10-19 04:16:00-01:00,2025-10-20 09:11:21.908000-01:00,1
24,2385889,S72,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-03,1960-01-01 14:44:00,2025-01-06,1960-01-01 10:57:41.696,-6.516827187675784,-76.34350801660136,2025-01-03 14:44:00-01:00,2025-01-06 10:57:41.696000-01:00,2
25,1597164,S72,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-09,1960-01-01 01:38:00,2025-06-11,1960-01-01 14:17:19.808,-6.492834320733975,-76.35682055563466,2025-06-09 01:38:00-01:00,2025-06-11 14:17:19.808000-01:00,2
26,1538606,S72,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-19,1960-01-01 05:41:00,2025-10-21,1960-01-01 21:31:28.200,-6.489143008836602,-76.38406482156324,2025-10-19 05:41:00-01:00,2025-10-21 21:31:28.200000-01:00,2
28,399166,S72,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-26,1960-01-01 01:59:00,2025-04-27,1960-01-01 10:39:21.208,-6.505753699136736,-76.37075228252996,2025-04-26 01:59:00-01:00,2025-04-27 10:39:21.208000-01:00,1
29,1659037,S72,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-28,1960-01-01 06:37:00,2025-03-02,1960-01-01 01:51:18.389,-6.486220701066449,-76.38081408528768,2025-02-28 06:37:00-01:00,2025-03-02 01:51:18.389000-01:00,1
30,389512,S72,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-03,1960-01-01 07:33:00,2025-01-06,1960-01-01 16:30:03.448,-6.49129627739838,-76.3585233222552,2025-01-03 07:33:00-01:00,2025-01-06 16:30:03.448000-01:00,3
31,3063277,S72,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-07,1960-01-01 21:50:00,2025-01-10,1960-01-01 11:16:47.040,-6.4737622516048585,-76.38329083673574,2025-01-07 21:50:00-01:00,2025-01-10 11:16:47.040000-01:00,2
32,405122,S72,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-04,1960-01-01 03:26:00,2025-01-07,1960-01-01 17:49:27.624,-6.478991761687113,-76.36471520087532,2025-01-04 03:26:00-01:00,2025-01-07 17:49:27.624000-01:00,3
33,2589899,S64,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-21,1960-01-01 02:50:00,2025-08-22,1960-01-01 09:43:11.836,-6.47668463156537,-76.39799654845855,2025-08-21 02:50:00-01:00,2025-08-22 09:43:11.836000-01:00,1
34,2589899,S64,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-06,1960-01-01 17:33:00,2025-09-08,1960-01-01 20:29:42.712,-6.47668463156537,-76.39799654845855,2025-09-06 17:33:00-01:00,2025-09-08 20:29:42.712000-01:00,2
35,1320853,S64,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-07,1960-01-01 15:48:00,2025-10-09,1960-01-01 18:04:05.108,-6.49467996653414,-76.38189766404619,2025-10-07 15:48:00-01:00,2025-10-09 18:04:05.108000-01:00,2
36,1326360,S64,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-15,1960-01-01 18:12:00,2025-12-17,1960-01-01 23:19:09.304,-6.484682637538362,-76.36610837356486,2025-12-15 18:12:00-01:00,2025-12-17 23:19:09.304000-01:00,2
37,1326360,S64,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-14,1960-01-01 07:39:00,2025-12-15,1960-01-01 20:22:22.552,-6.484682637538362,-76.36610837356486,2025-12-14 07:39:00-01:00,2025-12-15 20:22:22.552000-01:00,1
38,1320110,S64,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-05,1960-01-01 14:32:00,2025-09-08,1960-01-01 20:21:28.392,-6.501601077990031,-76.37230025218498,2025-09-05 14:32:00-01:00,2025-09-08 20:21:28.392000-01:00,3
39,1320126,S64,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-05,1960-01-01 08:07:00,2025-09-07,1960-01-01 02:58:59.884,-6.535436249499895,-76.3822072579772,2025-09-05 08:07:00-01:00,2025-09-07 02:58:59.884000-01:00,1
40,1319560,S64,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-08,1960-01-01 22:16:00,2025-05-11,1960-01-01 00:24:58.673,-6.487297342743172,-76.38344563370124,2025-05-08 22:16:00-01:00,2025-05-11 00:24:58.673000-01:00,2
41,1171666,S76,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-03,1960-01-01 11:46:00,2025-07-06,1960-01-01 18:28:53.576,-6.5186727453418944,-76.3682755310819,2025-07-03 11:46:00-01:00,2025-07-06 18:28:53.576000-01:00,3
42,1343179,S76,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-04,1960-01-01 19:24:00,2025-09-05,1960-01-01 20:20:28.176,-6.488681592947157,-76.38282644583923,2025-09-04 19:24:00-01:00,2025-09-05 20:20:28.176000-01:00,1
43,1172884,S76,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-08,1960-01-01 07:02:00,2025-05-10,1960-01-01 17:32:14.420,-6.479299378239633,-76.38623197908029,2025-05-08 07:02:00-01:00,2025-05-10 17:32:14.420000-01:00,2
44,1172884,S76,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-12,1960-01-01 13:35:00,2025-05-14,1960-01-01 09:06:34.730,-6.479299378239633,-76.38623197908029,2025-05-12 13:35:00-01:00,2025-05-14 09:06:34.730000-01:00,1
45,178293,S76,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-25,1960-01-01 07:16:00,2025-11-27,1960-01-01 00:56:32.085,-6.460842053408123,-76.35759454046216,2025-11-25 07:16:00-01:00,2025-11-27 00:56:32.085000-01:00,1
46,1173139,S76,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-10,1960-01-01 19:29:00,2025-05-13,1960-01-01 13:56:46.792,-6.511598070749814,-76.36069047977223,2025-05-10 19:29:00-01:00,2025-05-13 13:56:46.792000-01:00,2
47,1171637,S76,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-29,1960-01-01 19:07:00,2025-08-31,1960-01-01 02:41:43.612,-6.490373449142042,-76.35527258597962,2025-08-29 19:07:00-01:00,2025-08-31 02:41:43.612000-01:00,1
48,2960075,S76,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-28,1960-01-01 10:59:00,2025-10-30,1960-01-01 05:34:03.882,-6.489604424303387,-76.35620136777264,2025-10-28 10:59:00-01:00,2025-10-30 05:34:03.882000-01:00,1
49,1170158,S76,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-13,1960-01-01 12:44:00,2025-06-16,1960-01-01 12:55:17.912,-6.490834863481594,-76.35651096170365,2025-06-13 12:44:00-01:00,2025-06-16 12:55:17.912000-01:00,3
50,174970,S76,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-18,1960-01-01 04:00:00,2025-09-22,1960-01-01 01:59:52.172,-6.506676499175825,-76.36765634321989,2025-09-18 04:00:00-01:00,2025-09-22 01:59:52.172000-01:00,3
51,2019713,S76,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-20,1960-01-01 12:03:00,2025-02-24,1960-01-01 02:23:02.316,-6.47976080271672,-76.38932791839036,2025-02-20 12:03:00-01:00,2025-02-24 02:23:02.316000-01:00,3
52,1338474,S76,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-20,1960-01-01 05:59:00,2025-02-23,1960-01-01 07:59:44.906,-6.473147011562962,-76.36533438873734,2025-02-20 05:59:00-01:00,2025-02-23 07:59:44.906000-01:00,3
54,1631062,S76,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-30,1960-01-01 11:55:00,2025-06-01,1960-01-01 11:58:55.480,-6.466071697223312,-76.36053568280673,2025-05-30 11:55:00-01:00,2025-06-01 11:58:55.480000-01:00,2
55,178152,S76,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-19,1960-01-01 21:08:00,2025-06-21,1960-01-01 18:44:41.168,-6.475607967232413,-76.35651096170365,2025-06-19 21:08:00-01:00,2025-06-21 18:44:41.168000-01:00,1
56,184715,S76,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-17,1960-01-01 13:04:00,2025-05-19,1960-01-01 08:03:28.538,-6.491450081943356,-76.373229033978,2025-05-17 13:04:00-01:00,2025-05-19 08:03:28.538000-01:00,1
57,2359981,S76,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-28,1960-01-01 12:55:00,2025-08-29,1960-01-01 21:14:28.640,-6.492372908226624,-76.35047388004902,2025-08-28 12:55:00-01:00,2025-08-29 21:14:28.640000-01:00,1
59,2640181,S49,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-24,1960-01-01 09:38:00,2025-04-26,1960-01-01 07:59:07.698,-6.502523885654247,-76.34969989522149,2025-04-24 09:38:00-01:00,2025-04-26 07:59:07.698000-01:00,1
60,1531886,S49,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-17,1960-01-01 14:57:00,2025-11-18,1960-01-01 17:22:19.752,-6.506061299338097,-76.34660395591143,2025-11-17 14:57:00-01:00,2025-11-18 17:22:19.752000-01:00,1
61,1591552,S49,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-15,1960-01-01 01:15:00,2025-10-18,1960-01-01 16:35:29.892,-6.486682119209571,-76.38034969439117,2025-10-15 01:15:00-01:00,2025-10-18 16:35:29.892000-01:00,3
62,1686169,S49,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-08,1960-01-01 14:01:00,2025-11-10,1960-01-01 15:21:43.172,-6.487604954228283,-76.35929730708271,2025-11-08 14:01:00-01:00,2025-11-10 15:21:43.172000-01:00,2
63,1534703,S49,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-30,1960-01-01 05:57:00,2025-05-02,1960-01-01 15:50:33.624,-6.5137512431423525,-76.3453655801874,2025-04-30 05:57:00-01:00,2025-05-02 15:50:33.624000-01:00,2
64,1443461,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-06,1960-01-01 10:03:00,2025-06-08,1960-01-01 16:12:48.580,-6.490527253968865,-76.37911131866714,2025-06-06 10:03:00-01:00,2025-06-08 16:12:48.580000-01:00,2
65,1432003,S80,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-19,1960-01-01 16:01:00,2025-03-23,1960-01-01 09:54:39.984,-6.488373982119399,-76.3907210910799,2025-03-19 16:01:00-01:00,2025-03-23 09:54:39.984000-01:00,3
66,1449245,S80,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-16,1960-01-01 03:10:00,2025-01-19,1960-01-01 17:40:58.528,-6.478222719485261,-76.3679659371509,2025-01-16 03:10:00-01:00,2025-01-19 17:40:58.528000-01:00,3
67,1455441,S80,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-14,1960-01-01 23:07:00,2025-07-15,1960-01-01 23:41:27.760,-6.507753097078968,-76.35960690101372,2025-07-14 23:07:00-01:00,2025-07-15 23:41:27.760000-01:00,1
68,1455441,S80,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-16,1960-01-01 19:47:00,2025-07-19,1960-01-01 14:34:33.204,-6.507753097078968,-76.35960690101372,2025-07-16 19:47:00-01:00,2025-07-19 14:34:33.204000-01:00,2
69,2528225,S80,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-12,1960-01-01 22:28:00,2025-10-16,1960-01-01 09:46:23.276,-6.501754879385033,-76.37601537935707,2025-10-12 22:28:00-01:00,2025-10-16 09:46:23.276000-01:00,3
70,1983298,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-01,1960-01-01 16:07:00,2025-04-05,1960-01-01 04:26:31.609,-6.4963718025719945,-76.36192885549626,2025-04-01 16:07:00-01:00,2025-04-05 04:26:31.609000-01:00,3
71,1217782,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-11,1960-01-01 19:42:00,2025-04-13,1960-01-01 01:38:40.406,-6.482529340714998,-76.36750154625439,2025-04-11 19:42:00-01:00,2025-04-13 01:38:40.406000-01:00,1
72,1450277,S80,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-06,1960-01-01 11:14:00,2025-08-07,1960-01-01 16:34:33.188,-6.513136051972808,-76.3636316221168,2025-08-06 11:14:00-01:00,2025-08-07 16:34:33.188000-01:00,1
73,1220910,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-25,1960-01-01 16:01:00,2025-06-28,1960-01-01 06:21:33.230,-6.513905040816899,-76.37245504915049,2025-06-25 16:01:00-01:00,2025-06-28 06:21:33.230000-01:00,2
74,1222518,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-04,1960-01-01 18:33:00,2025-04-08,1960-01-01 11:21:14.404,-6.481145073615516,-76.38112367921867,2025-04-04 18:33:00-01:00,2025-04-08 11:21:14.404000-01:00,3
75,1451130,S80,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-21,1960-01-01 04:16:00,2025-02-22,1960-01-01 23:36:38.504,-6.50913729099216,-76.3637864190823,2025-02-21 04:16:00-01:00,2025-02-22 23:36:38.504000-01:00,1
76,2292410,S80,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-18,1960-01-01 08:59:00,2025-07-20,1960-01-01 14:52:19.344,-6.500985871939527,-76.37694416115009,2025-07-18 08:59:00-01:00,2025-07-20 14:52:19.344000-01:00,2
77,1624240,S80,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-05,1960-01-01 17:50:00,2025-09-08,1960-01-01 22:20:07.912,-6.475607967232413,-76.38421961852875,2025-09-05 17:50:00-01:00,2025-09-08 22:20:07.912000-01:00,3
78,1433735,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-01,1960-01-01 14:34:00,2025-06-02,1960-01-01 22:50:42.160,-6.524209377576026,-76.37678936418459,2025-06-01 14:34:00-01:00,2025-06-02 22:50:42.160000-01:00,1
79,1433735,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-12,1960-01-01 19:35:00,2025-06-14,1960-01-01 13:09:18.316,-6.524209377576026,-76.37678936418459,2025-06-12 19:35:00-01:00,2025-06-14 13:09:18.316000-01:00,1
80,2029491,S80,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-18,1960-01-01 01:43:00,2025-12-19,1960-01-01 19:57:02.704,-6.498217435398113,-76.38267164887372,2025-12-18 01:43:00-01:00,2025-12-19 19:57:02.704000-01:00,1
81,1214631,S80,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-07,1960-01-01 17:16:00,2025-09-09,1960-01-01 23:41:37.304,-6.47360844166466,-76.36920431287491,2025-09-07 17:16:00-01:00,2025-09-09 23:41:37.304000-01:00,2
82,1214588,S80,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-24,1960-01-01 11:30:00,2025-07-25,1960-01-01 12:48:39.548,-6.475454157854519,-76.36672756142687,2025-07-24 11:30:00-01:00,2025-07-25 12:48:39.548000-01:00,1
84,2988493,S80,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-18,1960-01-01 03:15:00,2025-05-20,1960-01-01 13:57:16.372,-6.475146538958138,-76.39815134542405,2025-05-18 03:15:00-01:00,2025-05-20 13:57:16.372000-01:00,2
85,2491723,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-27,1960-01-01 08:11:00,2025-04-28,1960-01-01 14:12:42.144,-6.487912565525591,-76.36270284032379,2025-04-27 08:11:00-01:00,2025-04-28 14:12:42.144000-01:00,1
86,1433920,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-11,1960-01-01 10:06:00,2025-06-12,1960-01-01 23:40:45.112,-6.517749967357818,-76.34397240749787,2025-06-11 10:06:00-01:00,2025-06-12 23:40:45.112000-01:00,1
87,1427870,S80,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-10,1960-01-01 22:59:00,2025-08-12,1960-01-01 08:38:17.776,-6.473300821643711,-76.36208365246178,2025-08-10 22:59:00-01:00,2025-08-12 08:38:17.776000-01:00,1
89,1434580,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-14,1960-01-01 16:13:00,2025-06-16,1960-01-01 07:58:52.954,-6.495448983620093,-76.35728494653115,2025-06-14 16:13:00-01:00,2025-06-16 07:58:52.954000-01:00,1
90,1429716,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-19,1960-01-01 15:31:00,2025-06-23,1960-01-01 05:41:29.874,-6.484528830927419,-76.38127847618418,2025-06-19 15:31:00-01:00,2025-06-23 05:41:29.874000-01:00,3
91,2449900,S80,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-06,1960-01-01 19:48:00,2025-05-09,1960-01-01 03:58:26.427,-6.471916529230526,-76.39969931507909,2025-05-06 19:48:00-01:00,2025-05-09 03:58:26.427000-01:00,2
92,1221677,S80,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-02,1960-01-01 19:04:00,2025-02-06,1960-01-01 13:09:10.996,-6.485605476218448,-76.36192885549626,2025-02-02 19:04:00-01:00,2025-02-06 13:09:10.996000-01:00,3
93,2338938,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-11,1960-01-01 22:24:00,2025-04-15,1960-01-01 10:04:39.760,-6.499755457580369,-76.37678936418459,2025-04-11 22:24:00-01:00,2025-04-15 10:04:39.760000-01:00,3
94,2449744,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-22,1960-01-01 16:16:00,2025-04-26,1960-01-01 13:00:50.828,-6.474992729439654,-76.39660337576902,2025-04-22 16:16:00-01:00,2025-04-26 13:00:50.828000-01:00,3
95,1448168,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-02,1960-01-01 02:46:00,2025-06-05,1960-01-01 22:36:55.184,-6.498063632921222,-76.34644915894593,2025-06-02 02:46:00-01:00,2025-06-05 22:36:55.184000-01:00,3
96,1433965,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-17,1960-01-01 12:40:00,2025-06-20,1960-01-01 15:00:57.496,-6.507291698260166,-76.37137147039198,2025-06-17 12:40:00-01:00,2025-06-20 15:00:57.496000-01:00,3
97,1444093,S80,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-06,1960-01-01 12:53:00,2025-06-08,1960-01-01 11:41:36.608,-6.502831487832539,-76.37369342487452,2025-06-06 12:53:00-01:00,2025-06-08 11:41:36.608000-01:00,1
98,2853221,S80,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-05,1960-01-01 10:43:00,2025-04-07,1960-01-01 04:02:29.824,-6.4996016555737945,-76.34675875287694,2025-04-05 10:43:00-01:00,2025-04-07 04:02:29.824000-01:00,1
100,971784,S46,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-22,1960-01-01 06:04:00,2025-01-23,1960-01-01 12:08:46.236,-6.479914610781959,-76.39722256363103,2025-01-22 06:04:00-01:00,2025-01-23 12:08:46.236000-01:00,1
101,982291,S46,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-29,1960-01-01 14:33:00,2025-06-01,1960-01-01 10:15:14.188,-6.507291698260166,-76.36641796749586,2025-05-29 14:33:00-01:00,2025-06-01 10:15:14.188000-01:00,2
103,1142363,S47,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-16,1960-01-01 11:14:00,2025-09-19,1960-01-01 02:36:50.132,-6.487451148509203,-76.39164987287292,2025-09-16 11:14:00-01:00,2025-09-19 02:36:50.132000-01:00,2
104,1142363,S47,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-20,1960-01-01 23:09:00,2025-07-24,1960-01-01 12:49:09.688,-6.487451148509203,-76.39164987287292,2025-07-20 23:09:00-01:00,2025-07-24 12:49:09.688000-01:00,3
106,1951565,S33,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-16,1960-01-01 10:01:00,2025-01-19,1960-01-01 05:47:45.964,-6.476223204275322,-76.40140208169963,2025-01-16 10:01:00-01:00,2025-01-19 05:47:45.964000-01:00,2
